Timestamp,0. Select an event you participated:,1. How likely would you recommend this event to someone else? ,2. How helpful is this event on your transition into the tech industry?,3. I made a connection to participants/recruiters or mentors that might help me to transition into the tech sector?,4. How likely would you volunteer for a women++ event in the future?,4. Choose one or more soft skills which you have developed during the event?,5. How much did the event boost your confidence to succeed the transition into the tech industry?,6. Are you a member of one of our partner communities?,7. Is there anything else you want to share with us?
2023/11/11 6:43:55 PM GMT+1,bootcamp,5,10,1,7,collaboration with different professions in a team;approaching people you know for the first time,1,"b) Yes, Women in AI",fddfadafdafdafdaafdafdafafafaf
2023/11/11 7:37:58 PM GMT+1,bootcamp,5,6,10,0,communication skills,2,"Yes, Women in AI;Yes, WomenXYZ",esrtzuilé
2023/11/11 6:43:55 PM GMT+2,bootcamp,10,10,1,6,,9,,
2023/11/11 7:37:58 PM GMT+2,bootcamp,7,1,5,8,,0,,
2023/11/11 6:43:55 PM GMT+3,bootcamp,10,7,8,8,,9,,
2023/11/11 7:37:58 PM GMT+3,bootcamp,1,1,0,5,,8,,
2023/11/11 6:43:55 PM GMT+4,bootcamp,9,2,1,9,,3,,
2023/11/11 7:37:58 PM GMT+4,bootcamp,10,4,3,1,,10,,
2023/11/11 6:43:55 PM GMT+5,bootcamp,5,7,0,2,,5,,
2023/11/11 7:37:58 PM GMT+5,bootcamp,9,4,9,0,,3,,
2023/11/11 6:43:55 PM GMT+6,bootcamp,8,6,8,5,,9,,
2023/11/11 7:37:58 PM GMT+6,bootcamp,4,6,7,10,,8,,
2023/11/11 6:43:55 PM GMT+7,bootcamp,9,10,8,2,,2,,
2023/11/11 7:37:58 PM GMT+7,bootcamp,0,8,10,2,,5,,
2023/11/11 6:43:55 PM GMT+8,bootcamp,1,3,7,0,,0,,
2023/11/11 7:37:58 PM GMT+8,bootcamp,10,9,2,10,,7,,
2023/11/11 6:43:55 PM GMT+9,bootcamp,4,3,0,8,,4,,
2023/11/11 7:37:58 PM GMT+9,bootcamp,1,7,10,0,,3,,
2023/11/11 6:43:55 PM GMT+10,bootcamp,4,4,5,4,,2,,
2023/11/11 7:37:58 PM GMT+10,bootcamp,8,0,8,5,,1,,
2023/11/11 6:43:55 PM GMT+11,bootcamp,10,4,9,5,,6,,
2023/11/11 7:37:58 PM GMT+11,bootcamp,0,7,3,4,,4,,
2023/11/11 6:43:55 PM GMT+12,bootcamp,7,8,5,9,,6,,
2023/11/11 7:37:58 PM GMT+12,bootcamp,7,8,10,0,,1,,
2023/11/11 6:43:55 PM GMT+13,bootcamp,1,2,10,1,,5,,
2023/11/11 7:37:58 PM GMT+13,bootcamp,8,6,3,0,,4,,
2023/11/11 6:43:55 PM GMT+14,bootcamp,3,4,1,10,,0,,
